Single_Line_Address,Postcode,Street_In_Postcode
"UNIT 3, 39-41 MOORBRIDGE ROAD, MAIDENHEAD, BERKSHIRE",SL6 8LT,No
"4 WORKSHOP, PERCY ROAD, DARLINGTON",DL3 0RX,Yes
"SAXON HOUSE, HENSON WAY, TELFORD WAY INDUSTRIAL ESTATE, KETTERING",NN16 8PX,Yes
"1 QUARRY ROAD, NORTHAMPTON",NN5 6NT,Yes
"METER R/O UNIT 54 UNKNOWN SUPPLY, DALTON PARK, MURTON, SEAHAM",SR7 9HU,No
"UNIT 17, MAITLAND ROAD, NEEDHAM MARKET, IPSWICH",IP6 8NZ,Yes
"NORTH MALTING THE MALTINGS, FELAW STREET, IPSWICH",IP2 8HD,Yes
"19-21 REGENT STREET, CAMBRIDGE",CB2 1AB,Yes
"UNIT 3 RIVERSIDE HOUSE, 24 LOWER SOUTHEND ROAD, WICKFORD",SS11 8AW,Yes
"WORKSHOP JOHNS AUTOS, TEMPERANCE PLACE, DARLINGTON",DL3 6LP,Yes
"WEMBLEY GARDENS, CAMBOIS, BLYTH",NE24 1RZ,Yes
"SITE 4/5, COQUET ENTERPRISE PARK, AMBLE, MORPETH",NE65 0PE,Yes
"SHOP, 68 EASTBOURNE ROAD, MIDDLESBROUGH",TS5 6QL,Yes
"UNIT 3, ALBERT ROAD, RUSHDEN",NN10 0BU,Yes
"3 CARR STREET, BLYTH",NE24 4NG,Yes
"LINCOLN ROAD, NETTLEHAM, LINCOLN",LN2 2NE,Yes
"1 CHURCH LANE, FIELD",CO3 8PB,Yes
"IN WAREHOUSE, ATLAS ROAD, LONDON",NW10 6DD,Yes
"CHARFLEETS ROAD, CANVEY ISLAND",SS8 0SG,Yes
"CRACKENEDGE LANE, DEWSBURY, WEST YORKSHIRE",WF13 1PT,Yes
"TOILETS & PREMISES, PARK ROAD, ASHINGTON",NE63 9NF,No
"SHOP, 66 STATION ROAD, UPMINSTER",RM14 2TD,Yes
"IMPERIAL WAY, WATFORD, HERTFORDHSIRE",WD24 4LQ,Yes
"TROUGH FIELD SUPPLY, DELGATE BANK, WESTON HILLS, SPALDING",PE12 6DW,Yes
"BRANKLEY HOUSE, PLOT 6, FAR END, BOOTHBY GRAFFOE, LINCOLN",LN5 0LG,Yes
"UNIT 7 CLIFFSIDE TRADE PARK, MOTHERWELL WAY, GRAYS",RM20 3XD,Yes
"SOUTHWICK GOLD GLOVES 1ST FLR, 24 THE GREEN, SOUTHWICK, SUNDERLAND",SR5 2JE,Yes
"5 WOODSIDE PARADE, 257 WOODSIDE, LEIGH ON SEA",SS9 4SS,Yes
"185 FELIXSTOWE ROAD, IPSWICH",IP3 9BJ,Yes
"2 CORNWALLIS ROAD, LINCOLN",LN3 4PD,Yes
"RIVERS EDGE HOTEL RIVERSIDE PARK, GREEN LANE, FRIARS GOOSE, GATESHEAD",NE10 0SB,Yes
"METER FOR UNIT 7 & UNIT 8, SOUTHCHURCH ROAD, SOUTHEND ON SEA",SS1 2PE,Yes
"1A MIDDLESBROUGH ROAD WEST, SOUTH BANK, MIDDLESBROUGH",TS6 6NS,Yes
"N11, MABLETHORPE CHALET PARK, LINKS AVENUE, MABLETHORPE",LN12 1QN,Yes
"1-3 DEWEY ROAD, DAGENHAM",RM10 8AR,Yes
"UNIT 5, BRINELL WAY, GREAT YARMOUTH",NR31 0LU,Yes
"UNIT 7, TELFORD PARK, TELFORD ROAD, CLACTON ON SEA, ESSEX",CO15 4LP,Yes
"2 HAMPDEN ROAD, HITCHIN",SG4 0LD,Yes
